list_name,name,label,region
choices_name_primary_cooperative,Yeedwuha,Yeedwuha,3
choices_name_primary_cooperative,Worego,Worego,3
choices_name_primary_cooperative,Wpyeneye,Wpyeneye,3
choices_name_primary_cooperative,Kutkwat,Kutkwat,3
choices_name_primary_cooperative,Zebechi,Zebechi,3
choices_name_primary_cooperative,Endesheget,Endesheget,3
choices_name_primary_cooperative,Sekela,Sekela,3
choices_name_primary_cooperative,Yetenbe,Yetenbe,3
choices_name_primary_cooperative,Gotera,Gotera,3
choices_name_primary_cooperative,Woyera,Woyera,3
choices_name_primary_cooperative,Dima,Dima,3
choices_name_primary_cooperative,Yelemet,Yelemet,3
choices_name_primary_cooperative,Yekebena,Yekebena,3
choices_name_primary_cooperative,Kecher,Kecher,3
choices_name_primary_cooperative,Mengisto,Mengisto,3
choices_name_primary_cooperative,Kel meda,Kel meda,3
choices_name_primary_cooperative,Sutafe,Sutafe,3
choices_name_primary_cooperative,Ferese meda,Ferese meda,3
choices_name_primary_cooperative,Kemer dengaye,Kemer dengaye,3
choices_name_primary_cooperative,Zehone wuha,Zehone wuha,3
choices_name_primary_cooperative,Shenkurte,Shenkurte,3
choices_name_primary_cooperative,Ambalaye,Ambalaye,3
choices_name_primary_cooperative,Eizana,Eizana,3
choices_name_primary_cooperative,Alem tesfa,Alem tesfa,3
choices_name_primary_cooperative,Gurib,Gurib,3
choices_name_primary_cooperative,Dubi tenaye,Dubi tenaye,3
choices_name_primary_cooperative,Gedeb,Gedeb,3
choices_name_primary_cooperative,Teguma,Teguma,3
choices_name_primary_cooperative,Abagejenber,Abagejenber,3
choices_name_primary_cooperative,Mteya,Mteya,3
choices_name_primary_cooperative,Yedite,Yedite,3
choices_name_primary_cooperative,Zachena,Zachena,3
choices_name_primary_cooperative,Ambager,Ambager,3
choices_name_primary_cooperative,Gende woyen,Gende woyen,3
choices_name_primary_cooperative,Tigdar,Tigdar,3
choices_name_primary_cooperative,Barjano,Barjano,3
choices_name_primary_cooperative,Enegode,Enegode,3
choices_name_primary_cooperative,Chemo,Chemo,3
choices_name_primary_cooperative,Eneva,Eneva,3
choices_name_primary_cooperative,Eneget,Eneget,3
choices_name_primary_cooperative,Enegeshe,Enegeshe,3
choices_name_primary_cooperative,Awuja,Awuja,3
choices_name_primary_cooperative,Enegatera,Enegatera,3
choices_name_primary_cooperative,Yesenebet,Yesenebet,3
choices_name_primary_cooperative,Lekuma,Lekuma,3
choices_name_primary_cooperative,Enedeneger,Enedeneger,3
choices_name_primary_cooperative,Lumame,Lumame,3
choices_name_primary_cooperative,Yegodena,Yegodena,3
